NPI,lst_nm,frst_nm,source,Quality_category_score,PI_category_score,IA_category_score,final_MIPS_score_without_CPB,final_MIPS_score
1689721714,ZANCONATO,REBECCA,apm,100,76.2,40,92.9,100
1699790121,BREEN,CHRISTOPHER,apm,100,76.2,40,92.9,100
1720008980,LU,LOUISE,apm,100,76.2,40,92.9,100
1730181876,ABRAHAM,GEORGE,apm,100,76.2,40,92.9,100
1740629682,KITAMURA,TATSUYOSHI,apm,100,76.2,40,92.9,100
1780672105,DONNELLY,RUSSELL,apm,100,76.2,40,92.9,100
1801981493,FOLEY,HEIDI,apm,100,76.2,40,92.9,100
1821228727,CRUZ,MAIRENI,apm,100,76.2,40,92.9,100
1861403875,ADAIKKALAM,ARUNA,apm,100,76.2,40,92.9,100
1861411647,ZAIDI,MANSOOR,apm,100,76.2,40,92.9,100
1861620007,MOLAKATALLA,PHANI,apm,100,76.2,40,92.9,100
1912173071,TOMAN,JARED,apm,100,76.2,40,92.9,100
1932391422,KHAFAGY,TAMER,apm,100,76.2,40,92.9,100
1962726919,NAPOLITANO,CRAIG,apm,100,76.2,40,92.9,100
1962804096,MIRZA,AFIA,apm,100,76.2,40,92.9,100
1982022935,SANSOUCY,PAMELA,apm,100,76.2,40,92.9,100
1013393057,ALEXANDER,KEVIN,group,79.6,,40,82.6,86.2
1013446525,DOWD,KELLY,individual,84.6,,40,86.9,93.3
1023417698,LOSTRITTO,ANGELA,group,79.6,,40,82.6,86.2
1033497052,SCUNCIO,JENNIFER,individual,90.2,,40,91.7,96.4
1053840868,GLASSMAN,MICHAEL,individual,100,,40,100,100
1063795920,ROY,JESSICA,individual,84.9,,40,87.2,92.1
1083958243,MELROY,KAYLEIGH,group,79.6,,40,82.6,86.2
1093062804,GRUTTADAURIA,ROBERT,group,79.6,,40,82.6,86.2
1093065104,PARENT,DANIELLE,group,79.6,,40,82.6,86.2
1093362501,KATSOS,LEAH,group,79.6,,40,82.6,86.2
1104173277,MONTEIRO,LEANNE,individual,100,,40,100,100
1114326808,MACERA,LAUREN,group,79.6,,40,82.6,86.2
1114574860,ARCAND,LINDSEY,group,79.6,,40,82.6,86.2
1124488796,SULLIVAN,AMY,group,79.6,,40,82.6,86.2
1134613615,ETHIER,SIDRA,group,79.6,,40,82.6,86.2
1144709114,BROCCOLO,JAKE,individual,88.6,,40,90.3,94.6
1164898920,BARRETT,KAYLA,group,79.6,,40,82.6,86.2
1174036883,GOLDSTEIN,SARAH,group,79.6,,40,82.6,86.2
1194210245,DECRISTOFORO,JACLYN,group,79.6,,40,82.6,86.2
1194958512,CHACE,KARA,individual,100,,40,100,100
1215992318,DOUCETTE,GREGORY,individual,87.2,,40,89.1,93.8
1235495243,SACCO,KATHRYN,group,79.6,,40,82.6,86.2
1265954408,GRAFOV,PAVEL,group,79.6,,40,82.6,86.2
1306330618,ARACENA OLIVER,JEAN PAUL,individual,91.8,,40,93.1,99.2
1326424375,ALDEN,STEVEN,individual,96.5,,40,97.1,100
1356659296,HORTON,ANDREW,individual,90.2,,40,91.6,93.9
1396392809,ULVESTAD,AARON,group,79.6,,40,82.6,86.2
1396838264,GIROUX,KERRY,group,79.6,,40,82.6,86.2
1447807193,HIBBARD,LYNNE,group,79.6,,40,82.6,86.2
1457496093,NASSANEY,MELISSA,group,79.6,,40,82.6,86.2
1477197226,HOLDEN,REID,group,79.6,,40,82.6,86.2
1477609816,MARCELLO,MEGAN,group,79.6,,40,82.6,86.2
1497285068,COOGAN,NICOLE,individual,98.6,,40,98.8,100
1518243120,ROBIDOUX,MELISSA,individual,85.4,,40,87.6,90.2
1578016002,FOSTER,TYLER,group,79.6,,40,82.6,86.2
1588996441,CASIMIRO,MARK,individual,87.6,,40,89.4,92.8
1639407703,PAVAO,DAVID,individual,100,,40,100,100
1669872644,FURLONG,JENNIFER,individual,83.7,,40,86.1,88.6
1689008963,MESCHISEN,KATHERINE,individual,86.4,,40,88.4,91.9
1699711606,SWANSON,YVONNE,group,79.6,,40,82.6,86.2
1700433216,MCCAUSLAND,MOLLY,individual,83.7,,40,86.1,92.6
1710491717,SEVIGNY,CHELSEA,individual,88.3,,40,90,94.2
1740370535,BOTELHO,ERIN,individual,82.8,,40,85.4,88.8
1750861423,MOSS,ERIN,individual,92.5,,40,93.6,97.4
1760027924,HOLT,TAYLOR,group,79.6,,40,82.6,86.2
1760739387,RHOADS,CAROLYN,group,79.6,,40,82.6,86.2
1780011056,CARNEVALE,BETHANY,group,79.6,,40,82.6,86.2
1780815530,DEBLOIS,RACHEL,group,79.6,,40,82.6,86.2
1790200350,DATTILO,ROBERT,individual,90.7,,40,92.1,97.3
1790266880,MADIGAN,JORDAN,group,79.6,,40,82.6,86.2
1801228861,GOULART,NADJA,group,79.6,,40,82.6,86.2
1801379276,CARACCIOLO,MIKAELA,individual,100,,40,100,100
1861048712,FLYNN,BRADY,group,79.6,,40,82.6,86.2
1871021055,BOYLE,BRENDAN,individual,100,,40,100,100
1871047621,ORNSTEIN,DAVID,group,79.6,,40,82.6,86.2
1871801613,ARRUDA,SARAH,group,79.6,,40,82.6,86.2
1912276015,CAMPION,WILLIAM,group,79.6,,40,82.6,86.2
1962459784,HAY,BRIAN,group,79.6,,40,82.6,86.2
1962744573,WOO,JASON,group,93.8,,40,94.7,99
1376565416,BERCHELMANN,KATHLEEN,apm,100,78.2,40,93.5,99
1184886202,KHODOSH,RITA,group,79.2,70,40,79.5,89.5
1669799342,HURSTAK,EMILY,group,79.2,70,40,79.5,89.5
1447435938,ANTOCI,TATIANA,apm,100,99.7,40,99.9,100
1225074586,NOWAK,PAUL,apm,84,88.9,40,88.7,95.2
1821066291,SAMEL,ANDREW,individual,100,97,40,99.1,100
1265501340,MIELE,JOHN,individual,,,,45,45
1396737714,CHERVIN,PAUL,individual,,,,45,45
1437410198,MACKEL,MELISSA,apm,100,96.2,40,98.9,100
1710276316,BAYER,THOMAS,apm,100,81,40,94.3,98.2
1316056401,MCDERMOTT,MOIRA,individual,,,,45,45
1164498861,DIFRANCESCA,JOSEPH,group,96.5,,40,97,100
1508946054,CARROLL,JOHN,group,96.5,,40,97,100
1538137450,HALASZ,CHARLES,individual,,,,45,45
1497817118,CONNOR,MICHAEL,individual,,,,45,45
1053625459,HAHN,DAVID,apm,100,82,40,94.6,100
1467481648,GORDON,NORMAN,individual,65.7,,40,70.9,74.1
1144382664,PARKER,MICHAEL,apm,97.7,78.4,40,92.4,98.4
1164434734,CLARK,ALEXANDER,apm,97.7,78.4,40,92.4,98.4
1205265840,DASS,PUNAM,apm,97.7,78.4,40,92.4,98.4
1215969985,MORRIS,JAMES,apm,97.7,78.4,40,92.4,98.4
1235216037,SCHMIDT,KRISTIE,apm,97.7,78.4,40,92.4,98.4
1265405088,KALSER,CORINNE,apm,97.7,78.4,40,92.4,98.4
1265842900,PAGE,STEPHANIE,apm,97.7,78.4,40,92.4,98.4
1275767675,MITCHELL,AMBER,apm,97.7,78.4,40,92.4,98.4
1326197963,MARSHALL,MARK,apm,97.7,78.4,40,92.4,98.4
1417337734,SALEEM,UMARA,apm,97.7,78.4,40,92.4,98.4
1487821500,HENSLEY,HOLLY,apm,97.7,78.4,40,92.4,98.4
1497727978,YU,STEPHEN,apm,97.7,78.4,40,92.4,98.4
1609897537,MAROTO-SOLTIS,JO-ANN,apm,97.7,78.4,40,92.4,98.4
1801154455,JIMENEZ,JEAN-CARLOS,apm,97.7,78.4,40,92.4,98.4
1891800512,ASTRAUSKAS,LEONARD,apm,97.7,78.4,40,92.4,98.4
1124033907,MANZANO,RAMIRO,individual,,,,45,45
1104245174,SACO,TARA,group,85.6,88,40,88.5,90.8
1013969906,THOMPSON,CANDACE,apm,100,79.9,40,94,99.3
1164573283,EISENSTOCK,JORDAN,apm,100,76.2,40,92.9,100
1881745826,GODDEAU,RICHARD,apm,100,76.2,40,92.9,100
1881822021,SADASIVAN,SUJA,apm,100,76.2,40,92.9,100
1891080255,BOOTS,BRETA,apm,100,76.2,40,92.9,100
1346246543,HOSS,DIANE,group,,,,45,45
1962744573,WOO,JASON,group,45.7,91,40,67.5,74.6
1003807769,HONG,SUNG-CHIL,group,59.4,,40,65.5,71.4
1003996430,DALSANIA,AMRITLAL,group,59.4,,40,65.5,71.4
1023002789,FISCHLER,ADAM,group,59.4,,40,65.5,71.4
1033564737,RUBIN,MARISSA,group,59.4,,40,65.5,71.4
1073522009,SEGARRA ROBERTS,GALE,group,59.4,,40,65.5,71.4
1073740429,SACHS,ADAM,group,59.4,,40,65.5,71.4
1083605919,PANARO,STEPHEN,group,59.4,,40,65.5,71.4
1083935365,MADURAM,DAVID,group,59.4,,40,65.5,71.4
1104814904,SHINBAUM,LAWRENCE,group,59.4,,40,65.5,71.4
1114904851,HATTON,WILLIAM,group,59.4,,40,65.5,71.4
1114914553,MIRANDA,MICHAEL,group,59.4,,40,65.5,71.4
1114926078,KULICKI,LEONARD,group,59.4,,40,65.5,71.4
1124027701,TIERNAN,JOHN,group,59.4,,40,65.5,71.4
1124261086,JACKSON,JULIET,group,59.4,,40,65.5,71.4
1134101603,VAITKEVICIUTE,IRENNA,group,59.4,,40,65.5,71.4
1134134950,LEITH,PHOEBE,group,59.4,,40,65.5,71.4
1134255839,BOWLING,THERESA,group,59.4,,40,65.5,71.4
1144683533,MONTANEZ,MARITZA,group,59.4,,40,65.5,71.4
1154407146,KUCZYNSKI,ERIC,group,59.4,,40,65.5,71.4
1164401907,LEE,HYUN SUK,group,59.4,,40,65.5,71.4
1174767883,RUTKOWSKI,GREGORY,group,59.4,,40,65.5,71.4
1174978894,MARDINI,FERAS,group,59.4,,40,65.5,71.4
1184001422,HARMON,EMILY,group,59.4,,40,65.5,71.4
1184663353,GERACE,JOSEPH,group,59.4,,40,65.5,71.4
1184825234,LO,DAVID,group,59.4,,40,65.5,71.4
1205221751,RAPOPORT,YURY,group,59.4,,40,65.5,71.4
1255310488,DUGGAN,WILLIAM,group,59.4,,40,65.5,71.4
1255506473,MAY,THOMAS,group,59.4,,40,65.5,71.4
1285079251,LIU,VICKY,group,59.4,,40,65.5,71.4
1295178085,RABOTNIKOV,YURY,group,59.4,,40,65.5,71.4
1306292693,PERILLO,WILLIAM,group,59.4,,40,65.5,71.4
1306831847,MEISTERLING,ERIC,group,59.4,,40,65.5,71.4
1306836135,BLINDER,JORDAN,group,59.4,,40,65.5,71.4
1316126444,BOLDON,KEITH,group,59.4,,40,65.5,71.4
1326048646,ZICKMANN,JOLANDA,group,59.4,,40,65.5,71.4
1356336721,MARTIN,THOMAS,group,59.4,,40,65.5,71.4
1356488647,KONG,BENJAMIN,group,59.4,,40,65.5,71.4
1366448185,FRENK,VLAD,group,59.4,,40,65.5,71.4
1366768905,LAGOY,JACQUELINE,group,59.4,,40,65.5,71.4
1396726089,SAADAT,HALEH,group,59.4,,40,65.5,71.4
1437132750,THOMPSON,CHARLES,group,59.4,,40,65.5,71.4
1437258159,FINKEL,KEVIN,group,59.4,,40,65.5,71.4
1457505158,CHEN,EDWARD,group,59.4,,40,65.5,71.4
1477586006,BERTUCH,FRANKLIN,group,59.4,,40,65.5,71.4
1487004065,PERILLO,LAUREN,group,59.4,,40,65.5,71.4
1487966396,SIVANESAN,LINGESH,group,59.4,,40,65.5,71.4
1497735799,DONNELLY,ALYSSA,group,59.4,,40,65.5,71.4
1497741862,SHAW,KEVIN,group,59.4,,40,65.5,71.4
1497749717,WABERSKI,WITOLD,group,59.4,,40,65.5,71.4
1508851296,ALTONJI,PAUL,group,59.4,,40,65.5,71.4
1508989435,INDELICATO,MARK,group,59.4,,40,65.5,71.4
1518113984,PALANIAPPAN,DHAMODARAN,group,59.4,,40,65.5,71.4
1518128461,VOETS,CHRISTOPHER,group,59.4,,40,65.5,71.4
1528041845,VOGEL,WOLF,group,59.4,,40,65.5,71.4
1528048089,TULCHINSKY,AMIR,group,59.4,,40,65.5,71.4
1528048329,HACKMAN,JAN,group,59.4,,40,65.5,71.4
1528054954,MATHEW,ANIL,group,59.4,,40,65.5,71.4
1528076247,BEAUDOIN,ERIC,group,59.4,,40,65.5,71.4
1528088663,GRAY,PAMELA,group,59.4,,40,65.5,71.4
1528472859,MAFFEO-MITCHELL,CARLA,group,59.4,,40,65.5,71.4
1548252778,MCCORMICK,MICHAEL,group,59.4,,40,65.5,71.4
1558352849,LOWERY,SUSAN,group,59.4,,40,65.5,71.4
1558441832,BHARDWAJ,ANIL,group,59.4,,40,65.5,71.4
1558555136,BHAWAL,NOMITA,group,59.4,,40,65.5,71.4
1578569349,LAPORTA,ROBERT,group,59.4,,40,65.5,71.4
1598110827,GAMMERMAN,SAMUEL,group,59.4,,40,65.5,71.4
1598915977,CARSELLO,JEFFREY,group,59.4,,40,65.5,71.4
1609029602,DODDABALLAPUR SUBRAMANYA,SRIHARSHA,group,59.4,,40,65.5,71.4
1609867589,CLUBB,MARIANN,group,59.4,,40,65.5,71.4
1629057468,CHUNG,DAVID,group,59.4,,40,65.5,71.4
1629069505,CARRIERO,LUCY,group,59.4,,40,65.5,71.4
1629392584,HINCHEY,JOSEPH,group,59.4,,40,65.5,71.4
1639244882,COFFMAN,MEGAN,group,59.4,,40,65.5,71.4
1639533995,GALLO,MICHAEL,group,59.4,,40,65.5,71.4
1659735652,STUART,WILLIAM,group,59.4,,40,65.5,71.4
1679550339,SANDERS,RICKY,group,59.4,,40,65.5,71.4
1689865743,ARCHAMBAULT,MICHAEL,group,59.4,,40,65.5,71.4
1699721886,OLOFINBOBA,TRUDY,group,59.4,,40,65.5,71.4
1699758938,WANG,LANSHENG,group,59.4,,40,65.5,71.4
1700044005,SPOSITO,JENNIFER,group,59.4,,40,65.5,71.4
1700863461,SHEPPARD,RICHARD,group,59.4,,40,65.5,71.4
1710397005,RAISBECK,ANDREW,group,59.4,,40,65.5,71.4
1710397146,ELLIOTT,KEVIN,group,59.4,,40,65.5,71.4
1710927561,BEBERMAN-JENNES,PHILLIS,group,59.4,,40,65.5,71.4
1720099864,LUJIC,DENISA,group,59.4,,40,65.5,71.4
1720215965,MATHEW,EAPEN,group,59.4,,40,65.5,71.4
1730166497,YOUMANS,ERIK,group,59.4,,40,65.5,71.4
1740316587,PANARO,HEATHER,group,59.4,,40,65.5,71.4
1750792933,ELLIOTT,SHEILA,group,59.4,,40,65.5,71.4
1760861843,PLUSCEC,ROBERT,group,59.4,,40,65.5,71.4
1760869465,SWALLOW,NATHAN,group,59.4,,40,65.5,71.4
1780789248,TUMAN,MARY,group,59.4,,40,65.5,71.4
1780874495,MEISTERLING,LEAH,group,59.4,,40,65.5,71.4
1790006344,BLINE,CHERYL,group,59.4,,40,65.5,71.4
1790761765,BLADEK,THOMAS,group,59.4,,40,65.5,71.4
1790946184,ROVINELLI,STEVEN,group,59.4,,40,65.5,71.4
1801088026,BIELLO,CHRISTINA,group,59.4,,40,65.5,71.4
1801115076,UTHAYASHANKAR,ARUN,group,59.4,,40,65.5,71.4
1811350259,MILLER,TREVOR,group,59.4,,40,65.5,71.4
1811985310,MORT,THOMAS,group,59.4,,40,65.5,71.4
1821005596,FARMER,JAMES,group,59.4,,40,65.5,71.4
1821031600,ZUBKOFF,IRA,group,59.4,,40,65.5,71.4
1831158922,BALATBAT,GILBERT,group,59.4,,40,65.5,71.4
1831181007,ROMAN,ROBIN,group,59.4,,40,65.5,71.4
1831192723,ZACHARAKOS,DINO,group,59.4,,40,65.5,71.4
1831385046,CABEZA,DAVID,group,59.4,,40,65.5,71.4
1851382584,KADIYALA,MAMATHA,group,59.4,,40,65.5,71.4
1851719546,DONLON,STEVEN,group,59.4,,40,65.5,71.4
1861459737,SUTTON,TREVOR,group,59.4,,40,65.5,71.4
1871575670,CORTLAND,EDWARD,group,59.4,,40,65.5,71.4
1881679231,HEALEY,SUSAN,group,59.4,,40,65.5,71.4
1881885721,DORTZBACH,KATHRYN,group,59.4,,40,65.5,71.4
1891109120,MITCHELL,MATTHEW,group,59.4,,40,65.5,71.4
1891934857,BUBE,NICHOLAS,group,59.4,,40,65.5,71.4
1912185844,ALDO,FRANCIS,group,59.4,,40,65.5,71.4
1912273434,LOZANO,JACQUELINE,group,59.4,,40,65.5,71.4
1932189222,GARRISON,JOHN,group,59.4,,40,65.5,71.4
1932245602,PANIGRAHI,RABI,group,59.4,,40,65.5,71.4
1952384281,SURIANI,ROBERT,group,59.4,,40,65.5,71.4
1952544546,KAINKARYAM,PRANHALI,group,59.4,,40,65.5,71.4
1962640722,BOUCHARD,AMY,group,59.4,,40,65.5,71.4
1972597508,IMMERMAN,BARRY,group,59.4,,40,65.5,71.4
1982675450,GOLEMBESKI,THOMAS,group,59.4,,40,65.5,71.4
1982841680,CARR,ZYAD,group,59.4,,40,65.5,71.4
1992796395,MCISAAC,JOSEPH,group,59.4,,40,65.5,71.4
1104020791,ADAM,OCTAVIAN,group,87.8,77,40,86.4,91.5
1700089414,GYAMFI,RICHMOND,group,100,69,40,90.7,95.1
1720631211,DERESIENSKI,TESS,group,40,47,40,51.1,53
1235178328,AMESBURY,SPENCER,apm,100,79.9,40,94,99.3
1659451870,SMITH,MICHAEL,group,,,,45,45
1720180664,NAIRNE,PAULETTE,group,,,,45,45
1407889801,SAHGAL,SUMIR,apm,91.4,95.7,40,94.4,100
1851507362,SAXENA,AMIT,apm,91.4,95.7,40,94.4,100
1316967375,BELL,MICHAEL,apm,88.2,73.4,40,86.1,92.2
1356336218,KILKENNY,BARBARA,individual,,,,45,45
1215199542,DOOLEY,ERIN KATE,apm,85.2,72.6,40,84.4,89.4
1043267537,ELSON,JUDITH,group,100,,40,100,100
1518908052,SCHANZ,MARY BETH,group,100,,40,100,100
1164515383,TSAMPARLIS,NICHOLAS,apm,100,,40,100,100
1245278886,ADLER-KLEIN,DEBRA,apm,100,,40,100,100
1639532302,KUTTAMPEROOR,FRANCIS,apm,100,,40,100,100
1457694671,MARCHESE,JOSEPH,group,,0,40,15,19.3
1669474607,SEWALL,STEVEN,group,,0,40,15,19.3
1679575617,STECYK,MARKIAN,individual,,,,45,45
1770585705,PONGOR,PAUL,individual,,,,45,45
1942475538,VOSCOPOULOS,CHRISTOPHER,group,87.9,79,40,87.1,94
1457329971,TODD,DIANE,group,20,0,0,11,13.8
1821102138,MCQUEEN,DAVID,group,20,0,0,11,13.8
1316969694,MICHAELS,JASON,individual,100,100,40,100,100
1356753974,BELDEN,SARAH,individual,96.9,100,40,98.3,100
1003820325,KLOMAN,ALEXANDER,apm,99,,40,99.2,100
1124080312,MELLO,CURTIS,apm,100,81.9,40,94.6,100
1740230846,COBB,JOSEPH,individual,,,,45,45
1144382664,PARKER,MICHAEL,individual,,,,45,45
1033158035,MCGOVERN,TERENCE,apm,100,81.9,40,94.6,100
1053308171,CARTY,TRICIA,apm,100,81.9,40,94.6,100
1104816552,MATEO,HECTOR,apm,100,81.9,40,94.6,100
1154488492,AISENBERG,ROBERT,apm,100,81.9,40,94.6,100
1164582508,RYBACK,LUCAS,apm,100,81.9,40,94.6,100
1225035066,BALSIS,BRIAN,apm,100,81.9,40,94.6,100
1225093362,LAXER,MARIVYL,apm,100,81.9,40,94.6,100
1265438709,FINGLETON,JAMES,apm,100,81.9,40,94.6,100
1285611293,FITZPATRICK,BRIAN,apm,100,81.9,40,94.6,100
1285621300,WOOD,WARREN,apm,100,81.9,40,94.6,100
1477519080,SCHWARTZ,RONALD,apm,100,81.9,40,94.6,100
1497742514,THEROUX,MARC,apm,100,81.9,40,94.6,100
1578600995,KNIGHT,PHILIP,apm,100,81.9,40,94.6,100
1598717803,VARGAS,ALISON,apm,100,81.9,40,94.6,100
1609852870,PUNZAK,STEPHEN,apm,100,81.9,40,94.6,100
1609878859,BRILLANTES,MIGUEL,apm,100,81.9,40,94.6,100
1649366220,PATRICK,DIANE,apm,100,81.9,40,94.6,100
1659428480,AWAD,ESSAM,apm,100,81.9,40,94.6,100
1720135577,RODRIGUES,CYNTHIA,apm,100,81.9,40,94.6,100
1811952955,SHAMIR,KENATH,apm,100,81.9,40,94.6,100
1831121383,INWOOD,JESSICA,apm,100,81.9,40,94.6,100
1861559429,DIOGO,JASON,apm,100,81.9,40,94.6,100
1891795720,HOLBY,ELIZABETH,apm,100,81.9,40,94.6,100
1902804990,CARROLL,JOHN,apm,100,81.9,40,94.6,100
1952470080,MANSHARAMANI,NARESH,apm,100,81.9,40,94.6,100
1245437789,OTCHERE-DARKO,LETICIA,group,72.6,75,40,77.4,83.9
1154387272,SELIGMAN,DAN,individual,,,,45,45
1588611214,DAGOSTINO,ROBERT,individual,100,64,40,89.2,91.5
1447467394,RAMAN,KATHLEEN,group,88.6,84,40,88.9,96
1821475542,BESEN,JUSTIN,group,98.5,,40,98.7,100
1104866524,CONWAY,STEPHEN,individual,100,100,40,100,100
1699785469,BLUTH,LAWRENCE,individual,100,89,40,96.7,100
1821315631,PRICE,ARIKE,individual,95.1,100,40,97.3,100
1922134634,GRABLE ESPOSITO,PHYLLIS,individual,100,100,40,100,100
1003864497,FLETCHER,MARK,apm,100,100,40,100,100
1053526384,DUNLEAVY,JOHN,apm,100,100,40,100,100
1063438224,HENSHAW,D ROSS,apm,100,100,40,100,100
1144229840,BRADY,ROBERT,apm,100,100,40,100,100
1144257288,BRAND,MICHAEL,apm,100,100,40,100,100
1164713681,TOMASZEWSKI,PAUL,apm,100,100,40,100,100
1184726598,DEPUY,JAMES,apm,100,100,40,100,100
1366622920,CIMINIELLO,ANGELO,apm,100,100,40,100,100
1437189586,DEVENEY,ROBERT,apm,100,100,40,100,100
1487653226,DELUCA,JEFFREY,apm,100,100,40,100,100
1568551927,BAZOS,ANDREW,apm,100,100,40,100,100
1598898843,FRANK,JOSHUA,apm,100,100,40,100,100
1639103955,GUGLIELMO,THOMAS,individual,62.8,100,40,79.5,84.1
1639580665,WOLFSON,THEODORE,group,63.4,100,40,79.9,83.6
1780712463,SEALEY,RANDOLPH,apm,100,100,40,100,100
1790710986,MULLEN,JOHN,apm,100,100,40,100,100
1811996556,LYNCH,MICHAEL,apm,100,100,40,100,100
1881911006,PAUL,JUSTIN,apm,100,100,40,100,100
1932131927,DIGIOVANNI,GIUSEPPE,apm,100,100,40,100,100
1972914067,SHULMAN,BRANDON,group,63.4,100,40,79.9,83.6
1063529352,CARANGELO,ROBERT,group,51.2,0,40,43.2,47.3
1073807335,ZHOU,HANBING,group,51.2,0,40,43.2,47.3
1083052633,MAKANJI,HEEREN,group,51.2,0,40,43.2,47.3
1174813554,JUDSON,CHRISTOPHER,group,51.2,0,40,43.2,47.3
1184621419,FULKERSON,JOHN,group,51.2,0,40,43.2,47.3
1194780668,COUGHLAN,KIMBERLY,group,51.2,0,40,43.2,47.3
1205833308,MIRANDA,MICHAEL,group,51.2,0,40,43.2,47.3
1225217102,BONTEMPO,NICHOLAS,group,51.2,0,40,43.2,47.3
1255858593,BERNARD,ALEXANDER,group,51.2,0,40,43.2,47.3
1265439368,SCHUTZER,STEVEN,group,51.2,0,40,43.2,47.3
1275004905,BRINCKMAN,COURTNEY,group,51.2,0,40,43.2,47.3
1285692798,NAGARKATTI,DURGESH,group,51.2,0,40,43.2,47.3
1326290826,DAVIS,STEPHEN,group,51.2,0,40,43.2,47.3
1336292150,WASKOWITZ,ROBERT,group,51.2,0,40,43.2,47.3
1346207073,JOSEPH,BETTY,group,51.2,0,40,43.2,47.3
1366848962,SMITH,SARA,group,51.2,0,40,43.2,47.3
1376576421,BLAINE,THEODORE,group,51.2,0,40,43.2,47.3
1396005419,WITMER,DANIEL,group,51.2,0,40,43.2,47.3
1427028786,HILL,ANITA,group,51.2,0,40,43.2,47.3
1457357733,ARONOW,MICHAEL,group,51.2,0,40,43.2,47.3
1497971667,BURNS,JEFFREY,group,51.2,0,40,43.2,47.3
1528038791,ALVER,CRAIG,group,51.2,0,40,43.2,47.3
1548224512,MAZZARA,JAMES,group,51.2,0,40,43.2,47.3
1598005985,CAPINERA,TRACY,group,51.2,0,40,43.2,47.3
1609984350,CONTE,PAUL,group,51.2,0,40,43.2,47.3
1639502602,FITZGERALD,MARY,group,51.2,0,40,43.2,47.3
1689146755,FENTON,CHELSEA,group,51.2,0,40,43.2,47.3
1700843968,MAYO,LAURA,group,51.2,0,40,43.2,47.3
1720245178,SHEKHMAN,MARK,group,51.2,0,40,43.2,47.3
1720343254,CAMPBELL,RYAN,group,51.2,0,40,43.2,47.3
1730486671,TANNENBAUM,DANIEL,group,51.2,0,40,43.2,47.3
1750367025,ROTHSTEIN,STACEY,group,51.2,0,40,43.2,47.3
1750399143,LAMALFA,MARY,group,51.2,0,40,43.2,47.3
1760449797,CHOLEWA,PAUL,group,51.2,0,40,43.2,47.3
1760489876,SULLIVAN,RAYMOND,group,51.2,0,40,43.2,47.3
1770580003,BENTHIEN,ROSS,group,51.2,0,40,43.2,47.3
1841428000,ESMENDE,SEAN,group,51.2,0,40,43.2,47.3
1851398614,GRADY-BENSON,JOHN,group,51.2,0,40,43.2,47.3
1871564583,PISANO,KRISTEN,group,51.2,0,40,43.2,47.3
1871570788,CAPPETTA,JULIE,group,51.2,0,40,43.2,47.3
1871590190,CAPUTO,ANDREW,group,51.2,0,40,43.2,47.3
1881664183,GLEASON,LORETTA,group,51.2,0,40,43.2,47.3
1750327482,SAMI,HAMID,individual,48.9,44,40,55.1,61
1548351679,ARBESFELD,LISA,individual,100,,40,100,100
1730270851,BUCHSBAUM,MARION,individual,88.3,,40,90.1,92
1376554105,GOTAY,RICARDO,group,95,,40,95.8,100
1497719579,HASHIM,SABET,apm,100,78.2,40,93.5,100
1700922218,BULGER,CHRISTOPHER,group,65.6,97,40,80.2,84.4
1437311289,DJALO,ANNABI,apm,,,,45,45
1396193777,DROESCH,CAREN,apm,88.2,73.4,40,86.1,92.2
1659354546,DEPALO,VERA,individual,,,,45,45
1063422749,WARK,HEATHER,individual,,,,45,45
1386810182,RINVIL-WAILES,EDWINE,apm,,,,45,45
1538387964,KATZ,JACOB,apm,96.7,73,40,90.3,100
1366754541,SANGHA,RAJBEER,apm,100,72.3,40,91.7,99
1801086673,HOQUE,RAFAZ,apm,100,65.8,40,89.8,94.8
1992236921,NAIK,HELI,apm,100,65.8,40,89.8,94.8
1306224514,SHAH,VISHAL,apm,100,79.7,40,93.9,98.8
1356433288,KRUTT,KENNETH,group,90.6,47,20,71.4,76.5
1013412295,VERZILLO,ZACHARY,group,94.9,,40,95.6,98.3
1053651992,WHEELER,STEPHANIE,group,94.9,,40,95.6,98.3
1083257505,GOLDMAN,MITCHELL,group,94.9,,40,95.6,98.3
1104169929,COSTELLO,KEVIN,group,94.9,,40,95.6,98.3
1124139936,BASTAN,MARK,group,94.9,,40,95.6,98.3
1134608011,BERTRAM,CAROLINE,group,94.9,,40,95.6,98.3
1144709114,BROCCOLO,JAKE,group,94.9,,40,95.6,98.3
1164911756,CYR,JEAN-PAUL,group,94.9,,40,95.6,98.3
1225373533,GODDU,RAYMOND,group,94.9,,40,95.6,98.3
1245700079,DEFARIA,VERONICA,group,94.9,,40,95.6,98.3
1255836508,REID,TYLER,group,94.9,,40,95.6,98.3
1417220245,DEMAGISTRIS,AMANDA,group,94.9,,40,95.6,98.3
1437124328,ROUSSEAU,GERALD,group,94.9,,40,95.6,98.3
1437556388,GERVASIO,NICKOLAS,group,94.9,,40,95.6,98.3
1457830507,NEWTON,CHARLOTTE,group,94.9,,40,95.6,98.3
1518264779,TOHER,RYAN,group,94.9,,40,95.6,98.3
1528351905,ENOS,BRENDAN,group,94.9,,40,95.6,98.3
1578933040,DECRISTOFORO,NICOLE,group,94.9,,40,95.6,98.3
1598011553,YOLE,MEGHAN,group,94.9,,40,95.6,98.3
1619481728,D'ELIA,MATTHEW,group,94.9,,40,95.6,98.3
1619984325,NULA,MICHAEL,group,94.9,,40,95.6,98.3
