pri_spec,zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient
FAMILY PRACTICE,06426,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06437,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06441,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06443,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06447,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06450,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06451,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06457,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06460,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06467,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06468,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06469,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06470,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06475,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06477,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06478,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06480,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06482,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06484,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06488,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06489,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06492,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06498,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06510,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06511,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06513,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06514,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06518,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06519,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06604,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06605,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06606,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06607,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06610,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06611,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06614,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06615,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06702,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06708,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06712,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06759,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06770,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06776,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06790,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06798,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06801,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06804,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06810,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06812,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06820,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06824,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06825,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06830,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06831,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06840,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06850,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06851,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06877,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06880,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06897,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06902,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
FAMILY PRACTICE,06905,$63.47 ,$190.87 ,$97.18 ,$15.87 ,$47.72 ,$24.30 
GASTROENTEROLOGY,01020,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01040,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01062,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01069,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01082,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01085,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01104,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01107,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01199,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01201,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01230,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01247,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01301,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01440,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01453,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01501,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01532,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01604,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01605,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01606,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01608,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01655,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01702,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01720,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01742,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01752,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01757,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01772,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01760,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01803,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01805,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01810,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01824,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01830,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01841,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01843,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01844,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01863,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,01915,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01923,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01930,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01949,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01950,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01960,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,01970,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02026,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02035,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02061,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02066,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02056,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02062,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02111,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02114,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02115,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02116,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02118,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02122,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02124,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02127,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02128,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02130,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02132,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02135,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02138,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02139,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02143,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02144,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02148,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02149,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02150,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02151,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02155,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02169,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02176,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02180,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02184,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02186,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02189,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02190,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02215,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02301,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02302,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02346,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02360,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02420,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02421,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02451,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02462,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02467,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02494,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
GASTROENTEROLOGY,02532,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02540,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02571,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02601,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02645,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02703,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02719,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02720,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02721,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02726,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02740,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02747,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02760,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02777,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02780,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02790,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
GASTROENTEROLOGY,02818,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02840,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02842,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02871,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02882,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02886,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02888,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02891,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02895,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02903,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02904,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02905,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02906,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02908,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02910,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02914,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02915,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,02920,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
GASTROENTEROLOGY,06001,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06002,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06010,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06030,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06032,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06033,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06051,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06052,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06067,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06069,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06074,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06082,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06084,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06102,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06105,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06106,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06107,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06109,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06117,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06120,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06226,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06260,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06268,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06320,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06351,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06355,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06360,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06385,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06401,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06405,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06410,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06418,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06437,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06451,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06457,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06460,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06473,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06488,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06489,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06492,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06498,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06510,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06511,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06517,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06518,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06519,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06525,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06606,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06610,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06611,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06614,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06706,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06708,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06712,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06776,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06790,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06801,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
GASTROENTEROLOGY,06810,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
